brand,name,price,spec_rating,processor,CPU,Ram_type,ROM_type,GPU,display_size,OS,warranty,resolution,storage_gb,ram_gb,brand_encoded,processor_encoded,OS_encoded,Ram_type_encoded,ROM_type_encoded
HP,14s-dq2649TU Laptop,34999,60.0,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",DDR4,SSD,Intel Integrated UHD,14.0,Windows 11 OS,1,2073600.0,512.0,8.0,9,15,12,2,1
Apple,MacBook Pro 14 inch Laptop,290990,61.0,Apple M2 Max M2 Max,12 Cores,Unified,SSD,30-core GPU,14.2,Mac OS,1,5939136.0,1024.0,32.0,2,166,7,11,1
Apple,MacBook Pro 14 inch Laptop,234990,69.32352941176471,Apple M2 Pro M2 Pro,12 Cores,Unified,SSD,19-core GPU,14.2,Mac OS,1,5939136.0,1024.0,16.0,2,167,7,11,1
HP,Pavilion Plus 14-eh0037TU Laptop,82799,70.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",DDR4,SSD,Intel Integrated Iris Xe,14.0,Windows 11 OS,1,5184000.0,512.0,16.0,9,42,12,2,1
Dell,Vostro 3425 D552308WIN9B Laptop,31790,60.0,5th Gen AMD Ryzen 3  5425U,"Quad Core, 8 Threads",DDR4,SSD,AMD Radeon AMD,14.0,Windows 11 OS,1,2073600.0,256.0,8.0,6,93,12,2,1
Lenovo,IdeaPad Gaming 3 15ACH6 82K2022XIN Laptop,60990,67.0,5th Gen AMD Ryzen 7  5800H,"Octa Core, 16 Threads",DDR4,SSD,4GB NVIDIA GeForce RTX 3050,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,14,111,12,2,1
MSI,Thin GF63 12VF-268IN Laptop,86990,77.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",DDR4,Hard-Disk,8GB NVIDIA GeForce RTX 4060,15.6,Windows 11 OS,1,2073600.0,1024.0,16.0,15,40,12,2,0
Dell,Vostro 3420 Laptop,52990,63.0,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",DDR4,SSD,Intel Graphics,14.0,Windows 11 OS,1,2073600.0,512.0,16.0,6,23,12,2,1
Dell,Vostro 3425 Laptop,38990,69.32352941176471,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",DDR4,SSD,AMD Radeon Graphics,14.0,Windows 11 OS,1,2073600.0,512.0,8.0,6,104,12,2,1
Asus,Vivobook Go 15 OLED 2023 E1504FA-LK545WS Laptop,52558,60.0,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",LPDDR5,SSD,AMD Radeon AMD,15.6,Windows 11 OS,1,2073600.0,512.0,16.0,3,129,12,8,1
Asus,VivoBook 14 X1400EA-EK322WS Notebook,31990,69.32352941176471,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",DDR4,SSD,Intel Integrated Intel UHD,14.0,Windows 11 OS,1,2073600.0,512.0,8.0,3,15,12,2,1
HP,15-fc0026AU Laptop,34499,69.32352941176471,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",LPDDR5,SSD,AMD Radeon AMD,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,9,126,12,8,1
Asus,Zenbook 14 OLED 2023 UX3402VA-KN541WS Laptop,94490,75.0,13th Gen Intel Core i5 1340P,"12 Cores (4P + 8E), 16 Threads",LPDDR5,SSD,Intel Iris Xe Graphics,14.0,Windows 11 OS,1,5184000.0,512.0,16.0,3,59,12,8,1
HP,15s-fq2738TU Laptop,33800,69.32352941176471,11th Gen Intel Core i3 1115G4 ,"Dual Core, 4 Threads",DDR4,SSD,Intel Integrated UHD Graphics,15.6,Windows 11 OS,1,1049088.0,512.0,8.0,9,16,12,2,1
Samsung,Galaxy Book 3  NP750XFG-KB2IN Laptop,74390,69.32352941176471,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",LPDDR4x,SSD,Intel Iris Xe Graphics,15.6,Windows 11 OS,1,2073600.0,512.0,16.0,21,58,12,7,1
Asus,Zenbook 14 Flip OLED 2023 UP3404VA-KN542WS Laptop,104490,71.0,13th Gen Intel Core i5 1340P,"12 Cores (4P + 8E), 16 Threads",LPDDR5,SSD, Intel Iris Xe Graphics,14.0,Windows 11 OS,1,5184000.0,512.0,16.0,3,59,12,8,1
Asus,Vivobook S15 OLED 2023 S5504VA-MA953WS Laptop,105739,71.0,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",LPDDR5,SSD,Intel Integrated Iris Xe,15.6,Windows 11 OS,1,4665600.0,1024.0,16.0,3,75,12,8,1
Lenovo,Thinkpad E15 21E6S05A00 Laptop,45500,66.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",DDR4,SSD,Intel UHD Graphics,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,14,34,12,2,1
Asus,Vivobook Go 15 OLED 2023 E1504FA-LK541WS Laptop,50760,69.32352941176471,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",LPDDR5,SSD,AMD Radeon AMD,15.6,Windows 11 OS,1,2073600.0,512.0,16.0,3,129,12,8,1
Asus,Vivobook Go 14 2023 E1404FA-NK542WS Laptop,49990,69.32352941176471,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",LPDDR5,SSD,AMD Radeon AMD,14.0,Windows 11 OS,1,2073600.0,512.0,16.0,3,129,12,8,1
Asus,Vivobook Go 14 2023 E1404FA-NK322WS Laptop,33199,69.32352941176471,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",LPDDR5,SSD,AMD Radeon AMD,14.0,Windows 11 OS,1,2073600.0,512.0,8.0,3,126,12,8,1
Asus,Vivobook Pro 15 M6500QC-HN742WS Laptop,70990,72.0,5th Gen AMD Ryzen 7 5800H,"Octa Core, 16 Threads",DDR4,SSD,4GB NVIDIA GeForce RTX 3050,15.6,Windows 11 OS,1,2073600.0,512.0,16.0,3,114,12,2,1
Acer,Nitro 5 AN515-47 NH.QL3SI.001 Gaming Laptop,64990,71.0,7th Gen AMD Ryzen 5 7535HS,"Hexa Core, 12 Threads",DDR5,SSD,4GB NVIDIA GeForce RTX 3050,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,1,132,12,4,1
Asus,Vivobook 16 2023 M1605YA-MB541WS Laptop,59990,64.0,7th Gen AMD Ryzen 5 7530U,"Hexa Core, 12 Threads",DDR4,SSD,AMD Radeon AMD,16.0,Windows 11 OS,1,2304000.0,512.0,16.0,3,131,12,2,1
Asus,Zenbook 14 OLED 2023 UM3402YA-KM741WS Laptop,88990,70.0,7th Gen AMD Ryzen 7 7730U,"Octa Core, 16 Threads",LPDDR4X,SSD,AMD Radeon AMD,14.0,Windows 11 OS,1,5184000.0,512.0,16.0,3,135,12,6,1
Asus,Vivobook Go 15 2023 E1504FA-NJ522WS Laptop,44990,69.32352941176471,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",LPDDR5,SSD,AMD Radeon AMD,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,3,129,12,8,1
HP,Pavilion Aero 13-be2047AU Laptop,77990,69.0,7th Gen AMD Ryzen 7 7735U,"Octa Core, 16 Threads",LPDDR5,SSD,AMD Radeon AMD,13.3,Windows 11 OS,1,2304000.0,1024.0,16.0,9,137,12,8,1
Asus,Vivobook 16 2023 M1605YA-MB741WS Laptop,70990,65.0,7th Gen AMD Ryzen 7 7730U,"Octa Core, 16 Threads",DDR4,SSD,AMD Radeon AMD,16.0,Windows 11 OS,1,2304000.0,512.0,16.0,3,135,12,2,1
Lenovo,IdeaPad  82K2022TIN Gaming Laptop,55990,70.0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",DDR4,SSD,4GB NVIDIA GeForce GTX 1650,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,14,105,12,2,1
Tecno,Megabook T1 Laptop,43999,66.0,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",LPDDR4,SSD,Intel UHD Graphics,15.6,Windows 11 OS,1,2073600.0,512.0,16.0,22,27,12,5,1
Acer,Aspire 3 A315-24P NX.KDESI.004 Laptop,37990,69.32352941176471,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",LPDDR5,SSD,AMD Radeon Graphiics,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,1,129,12,8,1
HP,Victus 15-fb0106AX Gaming Laptop,64990,67.0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",DDR4,SSD,4GB NVIDIA GeForce RTX 3050,15.6,Windows 11 OS,1,2073600.0,512.0,16.0,9,105,12,2,1
Lenovo,IdeaPad Slim 1 82VG009MIN Laptop,32990,69.32352941176471,AMD Ryzen 3 7320U,"Quad Core, 8 Threads",LPDDR5,SSD,AMD Radeon Graphics,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,14,159,12,8,1
Samsung,Galaxy Book 3 Pro 360 NP960QFG-KA3IN Laptop,179490,81.0,13th Gen Intel Core i7 1360P,"12 Cores (4P + 8E), 16 Threads",DDR5,SSD,Intel Iris Xe Graphics,16.0,Windows 11 OS,1,5184000.0,1024.0,16.0,21,68,12,4,1
Infinix,Zero Book Series ZL12 Laptop,56990,60.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",LPDDR5,SSD,Intel Integrated Iris Xe,15.6,Windows OS,1,2073600.0,512.0,16.0,12,42,13,8,1
HP,Victus 16-d0310TX Gaming Laptop,56990,71.0,11th Gen Intel Core i5 11400H ,"Hexa Core, 12 Threads",DDR4,SSD,4GB NVIDIA GeForce GTX 1650,16.1,Windows 11 OS,1,2073600.0,512.0,8.0,9,26,12,2,1
Asus,VivoBook 15 X1500EA-EJ3381WS Laptop,34990,69.32352941176471,11th Gen intel Core i3 1115G4,"Dual Core, 4 Threads",DDR4,SSD,Intel UHD Graphics,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,3,33,12,2,1
HP,Pavilion Plus 14-eh0037TU Laptop,83249,70.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",DDR4,SSD,Intel Integrated Iris Xe,14.0,Windows 11 OS,1,5184000.0,512.0,16.0,9,42,12,2,1
Dell,Vostro 3420 Laptop,57990,60.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",DDR4,SSD,Intel UHD Graphics,14.0,Windows 11 OS,1,2073600.0,512.0,16.0,6,37,12,2,1
HP,Envy x360 13-bf0121TU  Laptop,85490,71.0,12th Gen Intel Core i5 1230U,"10 Cores, 12 Threads",LPDDR4X,SSD,Intel Integrated Iris Xe,13.4,Windows 11 OS,1,2304000.0,512.0,16.0,9,36,12,6,1
Dell,Vostro 3520 Laptop,55890,69.32352941176471,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",DDR4,SSD,Intel Iris Xe Graphics,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,6,37,12,2,1
Asus,Vivobook 15 X1502ZA-EJ381WS Laptop,40689,69.32352941176471,12th Gen Intel Core i3 1220P,"10 Cores (2P + 8E), 12 Threads",DDR4,SSD,Intel UHD Graphics,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,3,35,12,2,1
Acer,Aspire 5 A515-57 2022 Laptop,48990,65.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",DDR4,SSD,Intel Iris Xe Graphic,15.6,Windows 11 OS,1,2073600.0,512.0,16.0,1,37,12,2,1
HP,Pavilion 14-dv2014TU Laptop,66648,64.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",DDR4,SSD,Intel Integrated UHD Graphics,14.0,Windows 11 OS,1,2073600.0,512.0,16.0,9,37,12,2,1
Acer,Aspire 5 A515-57 NX.K2VSI.002 Laptop,36990,69.32352941176471,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",DDR4,SSD,Intel Integrated UHD,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,1,34,12,2,1
Gigabyte,G5 KE RC55KE Laptop,74990,73.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",DDR4,SSD,6GB NVIDIA GeForce RTX 3060,15.6,Windows 11 OS,2,2073600.0,512.0,16.0,8,42,12,2,1
Lenovo,Legion 5 Pro 82RF00E1IN Gaming Laptop,144990,69.32352941176471,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",DDR5,SSD,8GB NVIDIA GeForce RTX 3070Ti,16.0,Windows 11 OS,1,4096000.0,1024.0,32.0,14,51,12,4,1
Dell,Latitude 7420 Laptop,118499,69.32352941176471,11th Gen Intel Core i7 1185G7,"Quad Core, 8 Threads",DDR4,SSD,Intel Iris Xe Graphics,14.0,Windows 10 OS,3,2073600.0,512.0,16.0,6,31,10,2,1
Lenovo,V15 82KDA00XIH Laptop,35490,69.32352941176471,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",DDR4,SSD,AMD Radeon Graphics,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,14,104,12,2,1
Lenovo,IdeaPad Flex 5 82R90068IN Laptop,62889,74.0,5th Gen AMD Ryzen 7 5700U,"Octa Core, 16 Threads",DDR4,SSD,AMD Radeon,14.0,Windows 11 OS,1,2304000.0,512.0,16.0,14,113,12,2,1
Lenovo,IdeaPad Gaming 3 82K201YAIN Laptop,63999,67.0,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",DDR4,SSD,4GB NVIDIA GeForce GTX 1650,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,14,100,12,2,1
Honor,MagicBook 14 WDQ9BHNE Laptop,41990,69.32352941176471,5th Gen AMD Ryzen 5  5500U,"Hexa Core, 12 Threads",DDR4,SSD,AMD Radeon,14.0,Windows 11 OS,1,2073600.0,512.0,8.0,10,97,12,2,1
Asus,VivoBook 14 2022 X1402ZA-MW311WS Laptop,49990,62.0,12th Gen Intel Core i3 1220P,"10 Cores (2P + 8E), 12 Threads",DDR4,SSD,Intel Integrated UHD,14.0,Windows 11 OS,1,2073600.0,512.0,8.0,3,35,12,2,1
Asus,VivoBook 14 2022 X1402ZA-EK521WS Laptop,54990,62.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",DDR4,SSD,Intel Integrated UHD,14.0,Windows 11 OS,1,2073600.0,512.0,8.0,3,37,12,2,1
Lenovo,IdeaPad Gaming 3 82SA00B2IN Laptop,119990,75.0,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",DDR4,SSD,6GB NVIDIA GeForce RTX 3060,16.0,Windows 11 OS,1,2304000.0,512.0,16.0,14,51,12,2,1
MSI,Creator M16 A12UD-633IN Laptop,85990,78.0,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",DDR4,SSD,4GB NVIDIA GeForce RTX 3050 Ti,16.0,Windows 11 OS,2,4249600.0,512.0,16.0,15,51,12,2,1
MSI,Creator Pro M16 A12UIS-634IN Gaming Laptop,85590,79.0,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",DDR4,SSD,4GB NVIDIA GeForce RTX A1000,16.0,Windows 11 OS,2,4249600.0,1024.0,16.0,15,51,12,2,1
Lenovo,V15 82KDA01EIH Laptop,31990,61.0,5th Gen AMD Ryzen 3 5300U,"Quad Core, 8 Threads",DDR4,SSD,AMD Radeon Graphics,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,14,94,12,2,1
